Designator,Val,Package,Mid X,Mid Y ,Rotation,Layer
C1,22uF,C_0603_1608Metric,140,-92.025,180,top
C2,4.7uF,C_0402_1005Metric,143.075,-92.2,270,top
C3,0.22uF,C_0402_1005Metric,144.075,-92.2,270,top
C4,4.7uF,C_0402_1005Metric,136.2,-75.85,90,top
C5,0.22uF,C_0402_1005Metric,142.05,-92.2,270,top
C6,10uF,C_0603_1608Metric,122.575,-96.4,180,top
C7,22uF,C_0603_1608Metric,125.9,-96.4,0,top
C8,0.22uF,C_0402_1005Metric,133.925,-92.2,270,top
C9,0.22uF,C_0402_1005Metric,131.775,-89.475,180,top
C10,0.22uF,C_0402_1005Metric,133.625,-75.875,90,top
C11,0.22uF,C_0402_1005Metric,137.2,-75.85,90,top
C12,0.22uF,C_0402_1005Metric,132.925,-92.2,270,top
C13,0.22uF,C_0402_1005Metric,131.775,-88.475,180,top
C14,10uF,C_0603_1608Metric,134.9,-75.3,90,top
C15,0.22uF,C_0402_1005Metric,134.925,-92.2,270,top
C16,22uF,C_0603_1608Metric,131.2,-87.2,180,top
C17,0.22uF,C_0402_1005Metric,131.775,-81.35,180,top
C18,22uF,C_0603_1608Metric,136.95,-92.025,0,top
C19,10uF,C_0603_1608Metric,131.2,-82.675,180,top
C20,10uF,C_0603_1608Metric,125.875,-80.775,0,top
C21,22uF,C_0603_1608Metric,162.525,-88.45,270,top
C22,22uF,C_0603_1608Metric,122.425,-80.775,180,top
C23,0.22uF,C_0402_1005Metric,164.425,-76.7,0,top
C25,0.22uF,C_0402_1005Metric,162.45,-71.9,0,top
C27,0.22uF,C_0402_1005Metric,164.45,-87.1,0,top
C30,18pF,C_0402_1005Metric,131.525,-80.1,180,top
C32,18pF,C_0402_1005Metric,131.525,-74.725,0,top
C36,0.22uF,C_0402_1005Metric,139.25,-75.875,90,top
C37,0.22uF,C_0402_1005Metric,164.425,-72.725,0,top
C38,0.22uF,C_0402_1005Metric,164.425,-75.675,0,top
C39,0.22uF,C_0402_1005Metric,154.75,-79.175,90,top
C44,0.1uF,C_0402_1005Metric,164.45,-84.075,180,top
C45,0.1uF,C_0402_1005Metric,164.455,-85.075,0,top
C46,2.2pF,C_0402_1005Metric,164.425,-77.75,0,top
C47,2.2pF,C_0402_1005Metric,164.425,-73.8,180,top
J1,Micro_SD_Card,microSD_HC_Molex_104031-0811,157.275,-102.025,180,top
R1,10K,R_0402_1005Metric,145.1,-92.225,270,top
R3,10K,R_0402_1005Metric,164.475,-81.025,0,top
R4,240,R_0402_1005Metric,138.225,-75.85,270,top
R5,470,R_0402_1005Metric,164.45,-79.4,180,top
R6,1.5K,R_0402_1005Metric,164.475,-83.075,0,top
R7,1.5K,R_0402_1005Metric,164.475,-86.075,180,top
R8,240,R_0402_1005Metric,164.475,-82.05,180,top
U3,AZ1117C-3.3,SOT-223,124.225,-101.7,90,top
U4,AZ1117C-1.5,SOT-223,123.975,-75.5,270,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,130.725,-77.4,270,top
